,3nm,5nm,7nm/10nm,16/20nm,28nm
1Q17,0,0,100,360,570
2Q17,0,0,140,360,570
3Q17,0,0,165,360,570
4Q17,0,0,200,360,570
1Q18,0,30,270,360,570
2Q18,0,30,270,390,570
3Q18,0,30,270,420,540
4Q18,0,30,270,420,540
1Q19,0,60,270,420,540
2Q19,0,90,270,420,540
3Q19,0,110,270,420,540
4Q19,0,110,300,420,540
1Q20,0,170,300,390,540
2Q20,0,180,330,380,540
3Q20,0,180,330,380,540
4Q20,0,210,360,360,510
1Q21,0,240,360,360,530
2Q21,0,240,360,390,530
3Q21,0,240,420,390,530
4Q21,30,270,420,400,530
1Q22,30,300,420,420,540
2Q22,60,330,450,420,540
3Q22,60,360,450,420,540
4Q22,60,360,450,420,570
1Q23,90,360,450,420,660
2Q23,120,360,450,420,660
3Q23,120,390,450,420,660
4Q23,120,420,450,420,660
1Q24,120,435,450,420,660
2Q24,120,435,450,420,660
3Q24,165,405,450,420,660
4Q24,270,375,450,420,675
1Q25,285,375,450,420,705
2Q25,345,375,450,420,735
3Q25,375,390,420,420,750